54 22863 603 26405 261 4 327 6882
55 23105 624 26109 264 6 332 6843
56 22961 630 26266 263 4 329 6816
57 22968 603 26199 262 11 326 6826
58 22712 601 26456 245 11 359 6812
59 22800 611 26405 228 9 366 6801
60 22586 587 26633 265 5 333 6818
61 22678 583 26523 261 5 331 6830
62 22791 608 26517 255 2 348 6833
63 22676 583 26687 243 6 354 6853
64 22860 644 26351 245 9 354 6809
65 22921 579 26311 252 10 355 6883
66 22887 572 26475 271 5 340 6914
67 22924 587 26449 266 7 353 6884
68 22851 610 26451 292 10 324 6852
69 22874 594 26374 295 8 325 6876
70 22821 590 26419 284 10 322 6859
71 22796 627 26403 271 7 349 6855
72 22837 613 26347 267 10 342 6857
73 22909 611 26250 269 5 340 6871
74 22905 561 26352 289 4 332 6911
75 22835 601 26433 271 9 335 6874
76 22922 648 26341 265 6 339 6829
77 23038 608 26275 272 11 334 6846
78 22833 620 26489 281 6 333 6837
79 22977 623 26396 288 2 343 6854
80 23066 589 26376 296 7 328 6874
81 23035 588 26383 298 3 330 6872
82 22685 686 26593 295 10 330 6754
83 22653 598 26695 288 11 335 6860
84 22741 613 26460 277 10 332 6840
85 22788 583 26467 282 3 345 6897
86 22678 640 26468 289 9 327 6814
87 22863 567 26389 291 7 323 6897
88 22786 614 26412 290 5 328 6842
89 22722 614 26458 280 11 326 6828
90 22923 590 26266 293 7 317 6862
91 22701 615 26354 281 9 323 6833
92 22757 594 26462 272 9 342 6883
93 22858 601 26403 289 7 335 6842
94 22892 578 26404 281 10 328 6853
95 22830 631 26363 299 9 318 6802
96 22899 584 26370 293 10 324 6887
97 22826 602 26379 297 12 314 6822
98 22844 639 26285 295 10 325 6800
99 22730 642 26324 298 9 339 6759
100 22821 578 26357 289 11 349 6814
101 22777 569 26406 303 9 327 6828
102 22643 606 26455 303 10 325 6824
103 22782 658 26347 301 8 336 6776
104 22870 593 26370 282 9 348 6835
105 22810 612 26405 293 5 343 6811
106 22912 571 26317 301 2 346 6861
107 22799 597 26299 293 4 346 6820
108 22719 616 26335 290 9 335 6841
109 22586 671 26507 325 3 311 6777
110 22703 587 26393 286 10 333 6846
111 22708 572 26459 288 8 333 6854
112 22839 618 26249 284 11 341 6816
113 22803 604 26292 278 7 348 6849
114 22782 642 26344 306 11 319 6772
115 22695 663 26429 288 9 339 6779
116 22780 588 26317 288 10 335 6847
117 22663 614 26488 284 6 339 6834
118 22715 555 26456 280 6 345 6879
119 22702 582 26412 266 15 347 6824
120 22800 604 26363 295 1 331 6823
121 22667 634 26455 296 9 316 6754
122 22769 625 26388 296 9 311 6771
123 22723 599 26381 293 6 321 6820
124 22637 584 26566 283 11 333 6822
125 22677 596 26429 282 12 330 6792
126 22967 598 26399 285 2 322 6829
127 22913 608 26438 285 12 325 6792
128 22884 598 26468 276 7 333 6805
129 22882 616 26379 290 9 317 6787
130 22921 603 26375 300 5 309 6811
131 22966 610 26292 296 6 311 6827
132 22991 643 26260 285 13 322 6783
133 22752 601 26483 285 11 326 6804
134 22921 608 26435 281 6 327 6830
135 22960 606 26396 305 8 315 6804
136 22794 611 26573 289 9 329 6778
137 22930 569 26490 289 8 322 6847
138 22835 606 26531 289 7 325 6787
139 23007 570 26430 279 14 329 6834
140 22914 573 26562 293 9 332 6812
141 22953 611 26486 296 10 334 6792
142 22883 599 26603 304 4 325 6816
143 22875 615 26615 265 10 347 6790
144 22870 631 26543 276 3 344 6796
145 22901 627 26491 266 4 349 6813
146 22928 612 26459 258 6 351 6798
147 22803 620 26552 249 9 347 6805
148 22925 627 26392 257 6 349 6791
149 22918 641 26430 259 8 335 6759
150 22888 649 26440 267 6 327 6770
151 23004 621 26430 264 14 325 6779
152 22941 618 26463 272 8 312 6820
153 22823 660 26427 282 10 292 6768
154 22906 582 26516 272 12 317 6857
155 22929 644 26372 291 5 300 6804
156 23002 595 26317 277 8 313 6848
157 22874 571 26440 283 7 308 6863
158 23039 584 26413 280 10 308 6859
159 23089 616 26367 276 9 323 6842
160 23008 619 26378 283 10 311 6848
161 22861 615 26543 282 9 314 6849
162 22872 608 26557 267 7 320 6860
163 22857 631 26592 274 5 317 6831
164 22738 594 26643 284 5 319 6869
165 22725 565 26715 289 7 308 6886
166 22639 657 26764 272 4 318 6787
167 22667 604 26733 280 4 309 6852
168 22905 587 26536 268 4 320 6886
169 22841 623 26670 259 12 321 6822
170 22909 601 26648 268 4 323 6865
171 22809 636 26668 269 2 319 6832
172 22952 616 26496 292 5 304 6842
173 22853 592 26601 268 10 320 6883
174 22839 605 26612 268 8 325 6848
175 22906 560 26628 246 6 336 6900
176 22632 612 26782 256 4 330 6852
177 22790 605 26663 269 6 317 6849
178 22568 597 26878 287 5 297 6881
179 22726 622 26774 279 6 304 6841
180 22782 607 26711 282 5 310 6839
181 22832 611 26654 286 7 315 6833
182 23011 600 26465 272 7 333 6860
183 22909 602 26529 271 11 331 6840
184 22923 617 26570 285 6 330 6832
185 23080 582 26488 280 5 342 6861
186 23165 576 26352 288 9 321 6859
187 23033 602 26534 271 5 328 6853
188 22919 620 26522 272 6 323 6857
189 22926 596 26473 270 8 339 6850
190 22877 641 26434 281 5 326 6777
191 22988 580 26437 286 10 329 6855
192 23040 592 26316 287 4 333 6820
193 22781 593 26593 289 6 329 6805
194 22759 586 26555 296 11 316 6824
195 22797 576 26437 277 13 339 6814
196 22701 631 26518 270 2 351 6774
197 22883 626 26527 282 4 326 6766
198 22913 606 26432 283 7 331 6798
199 22950 581 26463 295 6 324 6855
200 22978 612 26402 283 13 334 6801
201 22956 628 26351 298 10 318 6783
202 23039 632 26337 273 7 333 6788
