62 17130 449 12505 210 9 176 4099
63 17312 497 12245 228 5 164 4056
64 17358 451 12336 221 5 166 4082
65 17278 502 12409 209 7 167 4019
66 17390 456 12220 212 10 162 4043
67 17335 444 12261 206 5 163 4073
68 17261 511 12316 206 5 163 4012
69 17303 453 12402 213 6 153 4063
70 17320 449 12401 221 4 159 4088
71 17427 440 12307 204 11 158 4060
72 17325 442 12436 222 5 154 4073
73 17275 485 12470 235 5 146 4023
74 17298 495 12389 220 2 153 4027
75 17307 476 12348 219 7 159 4033
76 17166 495 12428 218 8 164 4014
77 17169 486 12424 217 7 159 4042
78 17247 451 12360 224 6 150 4080
79 17214 464 12326 220 5 142 4052
80 17237 439 12293 223 1 145 4090
81 17246 457 12291 213 7 149 4073
82 17320 483 12233 221 4 140 4063
83 17310 481 12263 219 6 141 4044
84 17476 444 12266 216 5 160 4088
85 17405 474 12283 210 7 153 4036
86 17401 482 12331 223 5 147 4050
87 17322 485 12374 232 6 141 4038
88 17275 469 12444 235 12 130 4058
89 17337 438 12431 233 9 141 4100
90 17228 473 12520 228 4 151 4064
91 17463 481 12386 217 7 163 4055
92 17298 458 12431 211 7 159 4049
93 17314 479 12345 202 5 162 4066
94 17272 491 12363 205 5 171 4063
95 17305 443 12428 196 3 175 4112
96 17210 441 12496 207 5 161 4073
97 17189 453 12551 205 7 165 4104
98 17172 445 12615 209 5 156 4101
99 17355 442 12507 213 2 139 4146
100 17360 481 12403 187 8 156 4108
101 17343 479 12426 201 7 153 4108
102 17433 468 12395 206 7 149 4085
103 17316 498 12399 196 10 149 4050
104 17242 462 12463 197 5 159 4096
105 17283 491 12399 205 8 146 4073
106 17337 478 12385 205 4 142 4084
107 17393 500 12412 214 5 138 4074
108 17357 464 12509 214 6 146 4064
109 17352 449 12435 202 4 155 4096
110 17318 476 12523 211 3 157 4078
111 17368 434 12459 197 5 169 4127
112 17222 493 12579 204 6 154 4056
113 17284 424 12593 208 4 155 4112
114 17304 465 12463 197 10 157 4100
115 17194 470 12549 208 7 149 4072
116 17315 441 12559 210 7 150 4107
117 17349 452 12434 216 8 147 4086
118 17327 462 12485 225 4 140 4094
119 17411 495 12398 213 7 152 4077
120 17353 455 12425 221 8 144 4109
121 17361 473 12410 228 7 144 4123
122 17229 513 12476 226 3 155 4079
123 17405 477 12415 206 11 163 4087
124 17289 465 12459 213 7 153 4111
125 17321 492 12485 220 3 153 4105
126 17122 506 12408 228 2 161 4063
127 17186 463 12392 213 9 156 4116
128 17138 442 12470 208 8 168 4140
129 17195 479 12449 222 8 154 4101
130 17283 473 12345 222 10 154 4098
131 17220 439 12473 228 7 152 4111
132 17263 456 12387 229 4 147 4101
133 17407 455 12302 208 10 160 4119
