time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
3625,0,0,39,22,96,846,1098,648
3630,0,0,47,13,74,909,1149,594
3635,0,0,48,16,76,846,1093,647
3640,0,0,44,19,84,885,1118,621
3645,0,0,44,13,90,883,1119,628
3650,0,0,42,24,74,875,1136,612
3655,0,0,46,10,73,863,1118,636
3660,0,0,41,23,77,859,1117,639
3665,0,0,58,17,63,899,1136,622
3670,0,0,47,19,76,859,1094,651
3675,0,0,47,13,80,881,1120,613
3680,0,0,31,20,73,847,1141,591
3685,0,0,44,16,76,849,1146,599
3690,0,0,48,18,82,810,1116,639
3695,0,0,45,15,86,892,1150,627
3700,0,0,51,24,81,878,1130,657
3705,0,0,46,16,87,902,1180,606
3710,0,0,44,21,92,855,1152,622
3715,0,0,55,16,79,847,1140,634
3720,0,0,57,26,84,856,1158,611
3725,0,0,49,12,78,818,1127,646
3730,0,0,41,29,85,875,1191,583
3735,0,0,56,18,78,842,1152,638
3740,0,0,54,17,81,869,1176,627
3745,0,0,44,24,90,869,1210,594
3750,0,0,53,26,91,821,1169,636
3755,0,0,65,19,78,864,1187,612
3760,0,0,57,18,76,832,1163,631
3765,0,0,44,22,86,848,1186,609
3770,0,0,57,16,79,843,1184,607
3775,0,0,50,17,80,815,1146,646
3780,0,0,59,16,79,863,1197,599
3785,0,0,54,19,93,819,1167,637
3790,0,0,57,21,87,879,1196,610
3795,0,0,61,27,81,820,1146,666
3800,0,0,67,21,82,887,1212,590
3805,0,0,57,29,97,819,1157,655
3810,0,0,58,19,94,878,1220,607
3815,0,0,47,26,92,805,1166,656
3820,0,0,53,15,87,879,1182,644
3825,0,0,52,21,87,874,1199,629
3830,0,0,51,24,86,838,1143,674
3835,0,0,49,19,84,915,1189,621
3840,0,0,52,16,83,866,1166,652
3845,0,0,40,23,85,879,1176,637
3850,0,0,57,20,86,868,1155,649
3855,0,0,54,18,87,893,1150,653
3860,0,0,49,26,75,912,1172,637
3865,0,0,49,19,83,908,1178,645
3870,0,0,49,18,86,860,1164,660
3875,0,0,56,27,90,883,1202,626
3880,0,0,65,20,83,868,1168,652
