time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4130,0,0,59,40,61,832,1162,658
4135,0,0,68,33,79,900,1206,624
4140,0,0,68,25,76,874,1165,672
4145,0,0,56,32,79,876,1212,620
4150,0,0,60,40,68,873,1201,643
4155,0,0,75,37,77,859,1209,644
4160,0,0,75,33,71,881,1241,628
4165,0,0,63,32,65,854,1197,676
4170,0,0,77,30,55,902,1212,659
4175,0,0,57,33,74,902,1199,664
4180,0,0,67,24,65,904,1224,631
4185,0,0,53,40,56,856,1194,662
4190,0,0,68,21,66,875,1205,644
4195,0,0,52,39,65,875,1225,646
4200,0,0,62,24,58,863,1208,658
4205,0,0,58,31,72,860,1213,655
4210,0,0,61,31,71,866,1183,677
4215,0,0,51,33,73,916,1258,617
4220,0,0,74,24,58,842,1195,673
4225,0,0,57,34,76,887,1229,631
4230,0,0,60,25,63,872,1190,675
4235,0,0,52,42,69,862,1214,631
4240,0,0,78,25,64,882,1203,646
4245,0,0,51,25,59,869,1182,673
4250,0,0,53,27,59,910,1208,639
4255,0,0,50,31,61,894,1208,662
4260,0,0,60,36,60,896,1240,633
4265,0,0,61,29,62,877,1209,653
4270,0,0,58,36,58,870,1218,640
4275,0,0,66,38,78,847,1196,658
4280,0,0,69,31,73,881,1235,625
4285,0,0,56,40,70,845,1182,680
4290,0,0,71,31,62,910,1236,626
4295,0,0,70,31,61,837,1186,667
4300,0,0,69,33,71,876,1238,618
4305,0,0,70,32,68,848,1213,651
4310,0,0,80,29,68,867,1220,649
4315,0,0,68,40,68,867,1238,636
4320,0,0,68,34,73,856,1209,662
4325,0,0,75,31,56,877,1211,652
4330,0,0,68,28,76,865,1218,646
4335,0,0,68,46,68,851,1231,643
4340,0,0,79,31,83,870,1228,651
4345,0,0,66,44,76,840,1221,656
4350,0,0,65,37,75,889,1251,626
4355,0,0,71,33,65,858,1210,656
4360,0,0,68,32,81,880,1240,625
4365,0,0,77,45,55,805,1197,660
4370,0,0,69,31,56,882,1272,603
4375,0,0,66,33,60,804,1208,655
4380,0,0,73,26,60,894,1248,633
4385,0,0,64,32,49,833,1228,657
